Scanning test set for 'said to be the same as' candidates...
Row   61 | Sub: 2018 European Junior Badminton Championships | Obj: 2018 European Junior Badminton Championships – Women's singles | Current Pred: has part                            | Type: Prefix/Shortened name
Row  939 | Sub: Liezen District                     | Obj: Liezen                              | Current Pred: capital                             | Type: Prefix/Shortened name
Row 1026 | Sub: Winchester Guildhall                | Obj: Winchester                          | Current Pred: located in the administrative territorial entity | Type: Prefix/Shortened name
Row 1047 | Sub: Carafe Sirènes et Grenouilles       | Obj: Carafe Sirènes et Grenouilles (stopper) | Current Pred: has part                            | Type: Prefix/Shortened name
Row 1050 | Sub: Canterbury Post Office              | Obj: Canterbury                          | Current Pred: location                            | Type: Prefix/Shortened name
Row 1132 | Sub: Dancing Muse                        | Obj: dancing                             | Current Pred: sport                               | Type: Prefix/Shortened name
Row 1152 | Sub: Landeck                             | Obj: Landeck District                    | Current Pred: capital of                          | Type: Prefix/Shortened name
Row 1157 | Sub: 漢                                   | Obj: 漢 (U+FA47)                          | Current Pred: CJKV variant character              | Type: Prefix/Shortened name
Row 1198 | Sub: The Sims Wiki                       | Obj: The Sims                            | Current Pred: part of                             | Type: Prefix/Shortened name
Row 1275 | Sub: Violin Concerto No. 5               | Obj: violin                              | Current Pred: instrumentation                     | Type: Prefix/Shortened name
Row 1294 | Sub: 1935 Irish Open Badminton Championships | Obj: 1935 Irish Open Badminton Championships – Men's doubles | Current Pred: has part                            | Type: Prefix/Shortened name
Row 1310 | Sub: Charles County                      | Obj: Charles County Public Schools       | Current Pred: school district                     | Type: Prefix/Shortened name
Row 1342 | Sub: HD 42954                            | Obj: HD 42954B                           | Current Pred: companion of                        | Type: Prefix/Shortened name
Row 1406 | Sub: Pennsylvania State Senate           | Obj: Pennsylvania                        | Current Pred: applies to jurisdiction             | Type: Prefix/Shortened name
Row 1422 | Sub: Bielenberg mit Stollen              | Obj: Bielenberg                          | Current Pred: located in the administrative territorial entity | Type: Prefix/Shortened name
Row 1462 | Sub: 1992 Slovenian Badminton Championships | Obj: 1992 Slovenian Badminton Championships – Men's doubles | Current Pred: has part                            | Type: Prefix/Shortened name
Row 1494 | Sub: acetaldehyde                        | Obj: acetaldehyde biosynthetic process   | Current Pred: part of                             | Type: Prefix/Shortened name
Row 1508 | Sub: Bitola inscription                  | Obj: Bitola                              | Current Pred: location                            | Type: Prefix/Shortened name
Row 1519 | Sub: Braunau am Inn District             | Obj: Braunau am Inn                      | Current Pred: capital                             | Type: Prefix/Shortened name
Row 1522 | Sub: Ronnie Lane & Slim Chance discography | Obj: Ronnie Lane & Slim Chance           | Current Pred: performer                           | Type: Prefix/Shortened name
Row 1559 | Sub: HD 125040                           | Obj: HD 125040A                          | Current Pred: has part                            | Type: Prefix/Shortened name
Row 1563 | Sub: Bristol Bears                       | Obj: Bristol                             | Current Pred: location                            | Type: Prefix/Shortened name
Row 1574 | Sub: Pontevedra                          | Obj: Pontevedra Province                 | Current Pred: located in the administrative territorial entity | Type: Prefix/Shortened name
Row 1676 | Sub: 2018 Minsk-Arena Ice Star - ice dance rhythm dance | Obj: 2018 Minsk-Arena Ice Star - ice dance | Current Pred: part of                             | Type: Prefix/Shortened name
Row 1715 | Sub: 1998 Páginas Amarillas Open         | Obj: 1998 Páginas Amarillas Open – Singles | Current Pred: has part                            | Type: Prefix/Shortened name
Row 1734 | Sub: Mega Man                            | Obj: Mega Man X                          | Current Pred: present in work                     | Type: Prefix/Shortened name
Row 1748 | Sub: de la Cruz                          | Obj: de la                               | Current Pred: tussenvoegsel                       | Type: Prefix/Shortened name
Row 1780 | Sub: de la Rosa                          | Obj: de la                               | Current Pred: tussenvoegsel                       | Type: Prefix/Shortened name
Row 1782 | Sub: Nintendo GameCube                   | Obj: Nintendo                            | Current Pred: manufacturer                        | Type: Prefix/Shortened name
Row 1792 | Sub: zodiac signs                        | Obj: zodiac                              | Current Pred: part of                             | Type: Prefix/Shortened name
Row 1832 | Sub: HD 223991                           | Obj: HD 223991A                          | Current Pred: has part                            | Type: Prefix/Shortened name
Row 1860 | Sub: AG2R La Mondiale 2018               | Obj: AG2R La Mondiale                    | Current Pred: season of club or team              | Type: Prefix/Shortened name
Row 1915 | Sub: Brisbane International              | Obj: Brisbane                            | Current Pred: location                            | Type: Prefix/Shortened name
Row 1937 | Sub: 25                                  | Obj: 2                                   | Current Pred: number of decimal digits            | Type: Prefix/Shortened name
Row 1979 | Sub: 22                                  | Obj: 2                                   | Current Pred: number of decimal digits            | Type: Prefix/Shortened name
Row 1983 | Sub: Zosterops auriventer                | Obj: Zosterops                           | Current Pred: parent taxon                        | Type: Prefix/Shortened name
Row 2028 | Sub: 1994 Slovenian Badminton Championships | Obj: 1994 Slovenian Badminton Championships – Men's doubles | Current Pred: has part                            | Type: Prefix/Shortened name
Row 2194 | Sub: Blue Hill Historical Society, Maine | Obj: Blue Hill Historical Society        | Current Pred: official name                       | Type: Prefix/Shortened name
Row 2223 | Sub: Brämaregården                       | Obj: Brämaregårdens parish               | Current Pred: replaces                            | Type: Prefix/Shortened name
Row 2261 | Sub: de la Puerta                        | Obj: de la                               | Current Pred: tussenvoegsel                       | Type: Prefix/Shortened name
Row 2290 | Sub: Appliqué inv. 848                   | Obj: appliqué                            | Current Pred: fabrication method                  | Type: Prefix/Shortened name
Row 2291 | Sub: CDKN2A p16 EXPRESSION               | Obj: CDKN2A                              | Current Pred: biological variant of               | Type: Prefix/Shortened name
Row 2308 | Sub: 2001 Denmark Open Badminton Championships | Obj: 2001 Denmark Open Badminton Championships – Men's singles | Current Pred: has part                            | Type: Prefix/Shortened name
Row 2315 | Sub: Hank Williams With His Drifting Cowboys discography | Obj: Hank Williams With His Drifting Cowboys | Current Pred: performer                           | Type: Prefix/Shortened name
Row 2317 | Sub: Nintendo 3DS                        | Obj: Nintendo                            | Current Pred: manufacturer                        | Type: Prefix/Shortened name
Row 2318 | Sub: 1976 American Airlines Tennis Games | Obj: 1976 American Airlines Tennis Games – Singles | Current Pred: has part                            | Type: Prefix/Shortened name
Row 2342 | Sub: Santhamaguluru mandal               | Obj: Santhamaguluru                      | Current Pred: capital                             | Type: Prefix/Shortened name
Row 2428 | Sub: University Avenue Bridge            | Obj: University Avenue                   | Current Pred: carries                             | Type: Prefix/Shortened name
Row 2433 | Sub: Appliqué inv. 734                   | Obj: appliqué                            | Current Pred: fabrication method                  | Type: Prefix/Shortened name
Row 2434 | Sub: 134-136 Walton Street               | Obj: 134-136 Walton Street 1 Brown Street | Current Pred: located at street address           | Type: Prefix/Shortened name
Row 2438 | Sub: Tamsweg District                    | Obj: Tamsweg                             | Current Pred: capital                             | Type: Prefix/Shortened name
Row 2462 | Sub: Violin Concerto No. 4               | Obj: violin                              | Current Pred: instrumentation                     | Type: Prefix/Shortened name
Row 2483 | Sub: DeWalt DW311                        | Obj: DeWALT                              | Current Pred: brand                               | Type: Prefix/Shortened name
Row 2509 | Sub: Appliqué inv. 733                   | Obj: appliqué                            | Current Pred: fabrication method                  | Type: Prefix/Shortened name
Row 2510 | Sub: DeWalt DW309K                       | Obj: DeWALT                              | Current Pred: brand                               | Type: Prefix/Shortened name
Row 2525 | Sub: HD 223991                           | Obj: HD 223991B                          | Current Pred: companion of                        | Type: Prefix/Shortened name
Row 2590 | Sub: 1958 Belgian Badminton Championships | Obj: 1958 Belgian Badminton Championships – Women's singles | Current Pred: has part                            | Type: Prefix/Shortened name
Row 2591 | Sub: Romanesque art in Catalonia         | Obj: Romanesque art                      | Current Pred: subclass of                         | Type: Prefix/Shortened name
Row 2663 | Sub: Gamma Doradus                       | Obj: Gamma Doradus variable              | Current Pred: type of variable star               | Type: Prefix/Shortened name
Row 2713 | Sub: DeWalt DW310                        | Obj: DeWALT                              | Current Pred: brand                               | Type: Prefix/Shortened name
Row 2716 | Sub: Kunitomi smart interchange          | Obj: Kunitomi                            | Current Pred: located in the administrative territorial entity | Type: Smart Interchange
Row 2743 | Sub: 2026 Spanish Badminton Championships | Obj: 2026 Spanish Badminton Championships – Men's doubles | Current Pred: has part                            | Type: Prefix/Shortened name
Row 2794 | Sub: 2000 US Open Badminton Championships | Obj: 2000 US Open Badminton Championships – Mixed doubles | Current Pred: has part                            | Type: Prefix/Shortened name
Row 2882 | Sub: Saint George's Cathedral            | Obj: Saint George                        | Current Pred: named after                         | Type: Prefix/Shortened name
Row 2889 | Sub: 1958 Belgian Badminton Championships | Obj: 1958 Belgian Badminton Championships – Women's doubles | Current Pred: has part                            | Type: Prefix/Shortened name
Row 2890 | Sub: Moselle Viaduct                     | Obj: Moselle                             | Current Pred: crosses                             | Type: Prefix/Shortened name
Row 2893 | Sub: Violin concerto No. 4               | Obj: violin                              | Current Pred: instrumentation                     | Type: Prefix/Shortened name
Row 2914 | Sub: Blansko                             | Obj: Blansko District                    | Current Pred: located in the administrative territorial entity | Type: Prefix/Shortened name
Row 2915 | Sub: Damned Damned Damned                | Obj: Damned                              | Current Pred: performer                           | Type: Prefix/Shortened name
Row 2993 | Sub: Sigma Draconis VI                   | Obj: Sigma Draconis                      | Current Pred: parent astronomical body            | Type: Prefix/Shortened name
Row 2995 | Sub: Mega Man                            | Obj: Mega Man universe                   | Current Pred: takes place in fictional universe   | Type: Prefix/Shortened name
Row 3009 | Sub: Litoměřice                          | Obj: Litoměřice District                 | Current Pred: capital of                          | Type: Prefix/Shortened name
Row 3087 | Sub: de la Peña                          | Obj: de la                               | Current Pred: tussenvoegsel                       | Type: Prefix/Shortened name
Row 3171 | Sub: Violin Concerto No. 2               | Obj: violin                              | Current Pred: instrumentation                     | Type: Prefix/Shortened name
Row 3179 | Sub: Kazakhstan                          | Obj: Kazakhstan Temir Zholy              | Current Pred: owner of                            | Type: Prefix/Shortened name
Row 3188 | Sub: Illumination                        | Obj: Illumination Mac Guff               | Current Pred: owned by                            | Type: Prefix/Shortened name
Row 3224 | Sub: ASTM D4642                          | Obj: ASTM D4642-RUS                      | Current Pred: has edition                         | Type: Prefix/Shortened name
Row 3260 | Sub: Violin Concerto                     | Obj: violin                              | Current Pred: instrumentation                     | Type: Prefix/Shortened name
Row 3268 | Sub: heart contraction                   | Obj: heart                               | Current Pred: anatomical location                 | Type: Prefix/Shortened name
Row 3321 | Sub: Torodi Department                   | Obj: Torodi                              | Current Pred: capital                             | Type: Prefix/Shortened name
Row 3357 | Sub: 1958 Swedish Open Badminton Championships | Obj: 1958 Swedish Open Badminton Championships – Men's singles | Current Pred: has part                            | Type: Prefix/Shortened name
Row 3366 | Sub: Sakura Gakuin discography           | Obj: Sakura Gakuin                       | Current Pred: performer                           | Type: Prefix/Shortened name
Row 3372 | Sub: PhilPapers publication ID           | Obj: PhilPapers                          | Current Pred: subject item of this property       | Type: Prefix/Shortened name
Row 3399 | Sub: 1987 Dow Chemical Classic           | Obj: 1987 Dow Chemical Classic – Singles | Current Pred: has part                            | Type: Prefix/Shortened name
Row 3405 | Sub: Appliqué inv. 9619                  | Obj: appliqué                            | Current Pred: fabrication method                  | Type: Prefix/Shortened name
Row 3408 | Sub: DeWalt DW308M                       | Obj: DeWALT                              | Current Pred: brand                               | Type: Prefix/Shortened name
Row 3490 | Sub: Republic Records                    | Obj: Republic                            | Current Pred: different from                      | Type: Prefix/Shortened name
Row 3494 | Sub: Appliqué inv. 739                   | Obj: appliqué                            | Current Pred: fabrication method                  | Type: Prefix/Shortened name
Row 3508 | Sub: DeWalt DW304P                       | Obj: DeWALT                              | Current Pred: brand                               | Type: Prefix/Shortened name
Row 3563 | Sub: Albany County                       | Obj: Albany                              | Current Pred: capital                             | Type: Prefix/Shortened name
Row 3578 | Sub: de la Vega                          | Obj: de la                               | Current Pred: tussenvoegsel                       | Type: Prefix/Shortened name
Row 3610 | Sub: Thrissur                            | Obj: Thrissur district                   | Current Pred: located in the administrative territorial entity | Type: Prefix/Shortened name
Row 3645 | Sub: Uherské Hradiště                    | Obj: Uherské Hradiště District           | Current Pred: located in the administrative territorial entity | Type: Prefix/Shortened name
Row 3646 | Sub: 1958 Belgian Badminton Championships | Obj: 1958 Belgian Badminton Championships – Men's singles | Current Pred: has part                            | Type: Prefix/Shortened name
Row 3683 | Sub: de la Torre                         | Obj: de la                               | Current Pred: tussenvoegsel                       | Type: Prefix/Shortened name
Row 3744 | Sub: Appliqué inv. 9472                  | Obj: appliqué                            | Current Pred: fabrication method                  | Type: Prefix/Shortened name
Row 3748 | Sub: The Godfather                       | Obj: The Godfather trilogy               | Current Pred: part of the series                  | Type: Prefix/Shortened name
Row 3769 | Sub: Trutnov                             | Obj: Trutnov District                    | Current Pred: capital of                          | Type: Prefix/Shortened name
Row 3783 | Sub: Kenitra Air Base                    | Obj: Kenitra                             | Current Pred: named after                         | Type: Prefix/Shortened name
Row 3869 | Sub: Takrouna War Cemetery               | Obj: Takrouna                            | Current Pred: location                            | Type: Prefix/Shortened name
Row 3960 | Sub: Omurtag                             | Obj: Omurtag of Bulgaria                 | Current Pred: named after                         | Type: Prefix/Shortened name
Row 4005 | Sub: Nintendo DS                         | Obj: Nintendo                            | Current Pred: manufacturer                        | Type: Prefix/Shortened name
Row 4015 | Sub: Esch-sur-Sûre Dam                   | Obj: Esch-sur-Sûre                       | Current Pred: located in the administrative territorial entity | Type: Prefix/Shortened name
Row 4067 | Sub: de la Cueva                         | Obj: de la                               | Current Pred: tussenvoegsel                       | Type: Prefix/Shortened name
Total candidates found: 128
