label,count,range,m_weights,weight_range,weight_ratio
business division,12,10-19,0.9974364999679562,0.99-1.0,0.17984179576333542
candidate,60,50-99,0.9871824998397812,0.95-0.99,0.17799295847207156
capital of,50,50-99,0.9893187498664844,0.95-0.99,0.17837813290775154
capital,296,200-499,0.9367669992095875,0.9-0.95,0.16890284179002424
captain,13,10-19,0.9972228749652859,0.99-1.0,0.17980327831976742
Carnegie Classification of Institutions of Higher Education,47,20-49,0.9899596248744953,0.95-0.99,0.17849368523845552
carries,37,20-49,0.9920958749011984,0.99-1.0,0.1788788596741355
cast member,67,50-99,0.9856871248210891,0.95-0.99,0.1777233363670956
catalog,27,20-49,0.9942321249279016,0.99-1.0,0.17926403410981548
category for the interior of the item,15,10-19,0.9967956249599453,0.99-1.0,0.17972624343263144
ceiling exposure limit,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
cell component,9,5-9,0.9980773749759672,0.99-1.0,0.1799573480940394
chairperson,27,20-49,0.9942321249279016,0.99-1.0,0.17926403410981548
characters,29,20-49,0.993804874922561,0.99-1.0,0.17918699922267947
charted in,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
child astronomical body,10,10-19,0.9978637499732969,0.99-1.0,0.17991883065047143
child,35,20-49,0.992523124906539,0.99-1.0,0.1789558945612715
chromosome,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
cites work,32,20-49,0.99316399991455,0.99-1.0,0.17907144689197546
CJKV variant character,5,5-9,0.9989318749866485,0.99-1.0,0.18011141786831142
coextensive with,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
collection,138,100-199,0.9705197496314969,0.95-0.99,0.1749885978737678
color,26,20-49,0.9944457499305719,0.99-1.0,0.17930255155338348
combination classification,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
commissioned by,20,20-49,0.9957274999465937,0.99-1.0,0.17953365621479145
common equity tier 1 capital ratio (CETI),4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
companion of,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
competition class,268,200-499,0.9427484992843562,0.9-0.95,0.16998133020992817
composer,76,50-99,0.9837644997970563,0.95-0.99,0.17737667937498364
compulsory education (maximum age),11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
conferred by,7,5-9,0.9985046249813078,0.99-1.0,0.1800343829811754
conflict,21,20-49,0.9955138749439234,0.99-1.0,0.17949513877122344
connecting line,27,20-49,0.9942321249279016,0.99-1.0,0.17926403410981548
connecting service,5,5-9,0.9989318749866485,0.99-1.0,0.18011141786831142
connects with,40,20-49,0.9914549998931875,0.99-1.0,0.17876330734343152
constellation,198,100-199,0.9577022494712781,0.95-0.99,0.17267755125968798
contains administrative territorial entity,198,100-199,0.9577022494712781,0.95-0.99,0.17267755125968798
contains settlement,24,20-49,0.9948729999359125,0.99-1.0,0.17937958644051946
continent,34,20-49,0.9927367499092093,0.99-1.0,0.1789944120048395
contributor to the creative work or subject,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
conversion to SI unit,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
copyright license,112,100-199,0.976073999700925,0.95-0.99,0.1759900514065357
copyright status,135,100-199,0.9711606246395078,0.95-0.99,0.17510415020447176
cost,14,10-19,0.9970092499626156,0.99-1.0,0.17976476087619944
costume designer,21,20-49,0.9955138749439234,0.99-1.0,0.17949513877122344
country for sport,7,5-9,0.9985046249813078,0.99-1.0,0.1800343829811754
country of citizenship,23,20-49,0.9950866249385828,0.99-1.0,0.17941810388408744
country of origin,283,200-499,0.9395441242443016,0.9-0.95,0.1694035685564082
country,3083,1000+,0.3413941167674264,<0.5,0.06155472656601622
cover art by,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
creator,180,100-199,0.9615474995193437,0.95-0.99,0.1733708652439119
crew member,18,10-19,0.9961547499519344,0.99-1.0,0.17961069110192746
crosses,35,20-49,0.992523124906539,0.99-1.0,0.1789558945612715
culture,14,10-19,0.9970092499626156,0.99-1.0,0.17976476087619944
currency,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
date of birth,8,5-9,0.9982909999786375,0.99-1.0,0.1799958655376074
date of death,9,5-9,0.9980773749759672,0.99-1.0,0.1799573480940394
date of first performance,22,20-49,0.9953002499412531,0.99-1.0,0.17945662132765544
date of official closure,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
date of official opening,143,100-199,0.9694516246181453,0.95-0.99,0.17479601065592779
decays to,77,50-99,0.983550874794386,0.95-0.99,0.17733816193141563
declination,95,50-99,0.9797056247463203,0.95-0.99,0.17664484794719168
dedicated to,7,5-9,0.9985046249813078,0.99-1.0,0.1800343829811754
defined daily dose,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
demonym,30,20-49,0.9935912499198907,0.99-1.0,0.1791484817791115
depicts,114,100-199,0.9756467496955844,0.95-0.99,0.17591301651939972
derivative work,25,20-49,0.9946593749332422,0.99-1.0,0.17934106899695149
described by source,180,100-199,0.9615474995193437,0.95-0.99,0.1733708652439119
designated as terrorist by,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
designed by,28,20-49,0.9940184999252313,0.99-1.0,0.17922551666624748
destination point,47,20-49,0.9899596248744953,0.95-0.99,0.17849368523845552
Deutsche Bahn station category,25,20-49,0.9946593749332422,0.99-1.0,0.17934106899695149
developer,24,20-49,0.9948729999359125,0.99-1.0,0.17937958644051946
diameter,36,20-49,0.9923094999038687,0.99-1.0,0.1789173771177035
different from,211,200-499,0.9549251244365641,0.95-0.99,0.17217682449330401
diocese,59,50-99,0.9873961248424515,0.95-0.99,0.17803147591563956
diplomatic relation,5,5-9,0.9989318749866485,0.99-1.0,0.18011141786831142
director manager,7,5-9,0.9985046249813078,0.99-1.0,0.1800343829811754
director of photography,67,50-99,0.9856871248210891,0.95-0.99,0.1777233363670956
director,66,50-99,0.9859007498237594,0.95-0.99,0.1777618538106636
discoverer or inventor,34,20-49,0.9927367499092093,0.99-1.0,0.1789944120048395
discovery method,9,5-9,0.9980773749759672,0.99-1.0,0.1799573480940394
dissolved,123,100-199,0.9737241246715516,0.95-0.99,0.17556635952728775
distance from Earth,101,100-199,0.9784238747302985,0.95-0.99,0.1764137432857837
distribution format,25,20-49,0.9946593749332422,0.99-1.0,0.17934106899695149
distributor,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
domain of saint or deity,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
draft,21,20-49,0.9955138749439234,0.99-1.0,0.17949513877122344
driving side,9,5-9,0.9980773749759672,0.99-1.0,0.1799573480940394
duration,65,50-99,0.9861143748264297,0.95-0.99,0.1778003712542316
edition or translation of,7,5-9,0.9985046249813078,0.99-1.0,0.1800343829811754
editor-in-chief,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
editor,8,5-9,0.9982909999786375,0.99-1.0,0.1799958655376074
effective temperature,88,50-99,0.9812009997650125,0.95-0.99,0.17691447005216765
electorate,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
electronegativity,14,10-19,0.9970092499626156,0.99-1.0,0.17976476087619944
elevation above sea level,498,200-499,0.8936147486701843,0.7-0.9,0.1611223181892888
eligible voters,24,20-49,0.9948729999359125,0.99-1.0,0.17937958644051946
emergency phone number,14,10-19,0.9970092499626156,0.99-1.0,0.17976476087619944
employees,39,20-49,0.9916686248958578,0.99-1.0,0.17880182478699952
employer,14,10-19,0.9970092499626156,0.99-1.0,0.17976476087619944
end time,257,200-499,0.9450983743137297,0.9-0.95,0.17040502208917613
enemy of,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
epoch,164,100-199,0.9649654995620688,0.95-0.99,0.17398714434099988
established from medical condition,14,10-19,0.9970092499626156,0.99-1.0,0.17976476087619944
ethnic group,13,10-19,0.9972228749652859,0.99-1.0,0.17980327831976742
event distance,59,50-99,0.9873961248424515,0.95-0.99,0.17803147591563956
excavation director,13,10-19,0.9972228749652859,0.99-1.0,0.17980327831976742
executive body,16,10-19,0.996581999957275,0.99-1.0,0.17968772598906346
exhibition history,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
expected completeness,8,5-9,0.9982909999786375,0.99-1.0,0.1799958655376074
eye color,15,10-19,0.9967956249599453,0.99-1.0,0.17972624343263144
fabrication method,48,20-49,0.989745999871825,0.95-0.99,0.17845516779488754
facet of,29,20-49,0.993804874922561,0.99-1.0,0.17918699922267947
family name identical to this given name,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
family name,15,10-19,0.9967956249599453,0.99-1.0,0.17972624343263144
family relationship degree,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
FAO risk status,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
fare zone,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
fastest lap,36,20-49,0.9923094999038687,0.99-1.0,0.1789173771177035
father,58,50-99,0.9876097498451218,0.95-0.99,0.17806999335920756
feast day,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
female population,32,20-49,0.99316399991455,0.99-1.0,0.17907144689197546
field of work,21,20-49,0.9955138749439234,0.99-1.0,0.17949513877122344
film editor,6,5-9,0.9987182499839782,0.99-1.0,0.18007290042474342
filming location,54,50-99,0.9884642498558032,0.95-0.99,0.17822406313347955
Filmiroda rating,8,5-9,0.9982909999786375,0.99-1.0,0.1799958655376074
fiscal tax revenue,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
flag,8,5-9,0.9982909999786375,0.99-1.0,0.1799958655376074
floors above ground,20,20-49,0.9957274999465937,0.99-1.0,0.17953365621479145
floruit,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
focal height,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
followed by,602,500-999,0.8713977483924717,0.7-0.9,0.1571165040582171
follows,644,500-999,0.8624254982803187,0.7-0.9,0.15549877142836124
found in taxon,15,10-19,0.9967956249599453,0.99-1.0,0.17972624343263144
founded by,38,20-49,0.9918822498985281,0.99-1.0,0.1788403422305675
from narrative universe,53,50-99,0.9886778748584735,0.95-0.99,0.17826258057704755
game mode,33,20-49,0.9929503749118797,0.99-1.0,0.17903292944840749
GDP (PPP),8,5-9,0.9982909999786375,0.99-1.0,0.1799958655376074
general classification of race participants,136,100-199,0.9709469996368375,0.95-0.99,0.17506563276090378
genetic association,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
genre,212,200-499,0.9547114994338938,0.95-0.99,0.172138307049736
geography of topic,17,10-19,0.9963683749546047,0.99-1.0,0.17964920854549546
given name,35,20-49,0.992523124906539,0.99-1.0,0.1789558945612715
gross tonnage,20,20-49,0.9957274999465937,0.99-1.0,0.17953365621479145
GUI toolkit or framework,21,20-49,0.9955138749439234,0.99-1.0,0.17949513877122344
guidance system,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
hair color,5,5-9,0.9989318749866485,0.99-1.0,0.18011141786831142
half-life,94,50-99,0.9799192497489906,0.95-0.99,0.17668336539075966
has cause,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
has decorative pattern,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
has edition,12,10-19,0.9974364999679562,0.99-1.0,0.17984179576333542
has facility,10,10-19,0.9978637499732969,0.99-1.0,0.17991883065047143
has grammatical gender,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
has list,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
has part,605,500-999,0.8707568733844608,0.7-0.9,0.1570009517275131
has parts of the class,23,20-49,0.9950866249385828,0.99-1.0,0.17941810388408744
has program committee member,6,5-9,0.9987182499839782,0.99-1.0,0.18007290042474342
has quality,50,50-99,0.9893187498664844,0.95-0.99,0.17837813290775154
has tense,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
head coach,29,20-49,0.993804874922561,0.99-1.0,0.17918699922267947
head of government,55,50-99,0.9882506248531329,0.95-0.99,0.17818554568991157
head of state,8,5-9,0.9982909999786375,0.99-1.0,0.1799958655376074
headquarters location,210,200-499,0.9551387494392344,0.95-0.99,0.172215341936872
health specialty,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
height,126,100-199,0.9730832496635407,0.95-0.99,0.17545080719658376
heritage designation,386,200-499,0.9175407489692594,0.9-0.95,0.1654362718689045
highway system,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
historical region,18,10-19,0.9961547499519344,0.99-1.0,0.17961069110192746
history of topic,23,20-49,0.9950866249385828,0.99-1.0,0.17941810388408744
home port,13,10-19,0.9972228749652859,0.99-1.0,0.17980327831976742
home venue,44,20-49,0.9906004998825062,0.99-1.0,0.17860923756915953
home world,19,10-19,0.995941124949264,0.99-1.0,0.17957217365835942
ICAA rating,31,20-49,0.9933776249172203,0.99-1.0,0.17910996433554346
IDLH,18,10-19,0.9961547499519344,0.99-1.0,0.17961069110192746
illiterate population,5,5-9,0.9989318749866485,0.99-1.0,0.18011141786831142
illustrator,1,1,0.9997863749973297,0.99-1.0,0.1802654876425834
inception,1120,1000+,0.7607399970092499,0.7-0.9,0.13716446828999457
income classification (Philippines),3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
indigenous to,5,5-9,0.9989318749866485,0.99-1.0,0.18011141786831142
industry,44,20-49,0.9906004998825062,0.99-1.0,0.17860923756915953
inflation rate,27,20-49,0.9942321249279016,0.99-1.0,0.17926403410981548
inflows,5,5-9,0.9989318749866485,0.99-1.0,0.18011141786831142
innervated by,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
instance of,4681,1000+,2.1362500267031254e-05,<0.5,3.851744356799714e-06
instrumentation,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
interested in,10,10-19,0.9978637499732969,0.99-1.0,0.17991883065047143
introduced feature,8,5-9,0.9982909999786375,0.99-1.0,0.1799958655376074
is a list of,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
item operated,6,5-9,0.9987182499839782,0.99-1.0,0.18007290042474342
IUCN protected areas category,29,20-49,0.993804874922561,0.99-1.0,0.17918699922267947
Köppen climate classification,6,5-9,0.9987182499839782,0.99-1.0,0.18007290042474342
language of work or name,250,200-499,0.9465937493324219,0.9-0.95,0.17067464419415213
language used,81,50-99,0.9826963747837046,0.95-0.99,0.17718409215714362
languages spoken,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
last line,20,20-49,0.9957274999465937,0.99-1.0,0.17953365621479145
league,41,20-49,0.9912413748905172,0.99-1.0,0.1787247898998635
legal form,102,100-199,0.9782102497276282,0.95-0.99,0.17637522584221568
legislative body,54,50-99,0.9884642498558032,0.95-0.99,0.17822406313347955
length,242,200-499,0.9483027493537843,0.9-0.95,0.17098278374269607
level of description,13,10-19,0.9972228749652859,0.99-1.0,0.17980327831976742
librettist,13,10-19,0.9972228749652859,0.99-1.0,0.17980327831976742
life expectancy,14,10-19,0.9970092499626156,0.99-1.0,0.17976476087619944
linguistic typology,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
list of episodes,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
list of monuments,67,50-99,0.9856871248210891,0.95-0.99,0.1777233363670956
literate population,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
located at street address,75,50-99,0.9839781247997266,0.95-0.99,0.1774151968185516
located in or next to body of water,122,100-199,0.9739377496742219,0.95-0.99,0.17560487697085575
located in present-day administrative territorial entity,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
located in protected area,50,50-99,0.9893187498664844,0.95-0.99,0.17837813290775154
located in the administrative territorial entity,2075,1000+,0.5567281194591014,0.5-0.7,0.10038030968255732
located in the ecclesiastical territorial entity,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
located in time zone,438,200-499,0.9064322488304031,0.9-0.95,0.16343336480336865
located on astronomical location,33,20-49,0.9929503749118797,0.99-1.0,0.17903292944840749
located on street,37,20-49,0.9920958749011984,0.99-1.0,0.1788788596741355
located on terrain feature,78,50-99,0.9833372497917157,0.95-0.99,0.17729964448784763
location of creation,51,50-99,0.9891051248638141,0.95-0.99,0.17833961546418353
location of first performance,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
location of formation,26,20-49,0.9944457499305719,0.99-1.0,0.17930255155338348
location,805,500-999,0.8280318728503984,0.7-0.9,0.1492974630139137
longitude of ascending node,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
lower flammable limit,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
lowest atmospheric pressure,23,20-49,0.9950866249385828,0.99-1.0,0.17941810388408744
lowest point,8,5-9,0.9982909999786375,0.99-1.0,0.1799958655376074
lyrics by,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
main subject,161,100-199,0.9656063745700797,0.95-0.99,0.17410269667170386
mains voltage,13,10-19,0.9972228749652859,0.99-1.0,0.17980327831976742
maintained by WikiProject,6,5-9,0.9987182499839782,0.99-1.0,0.18007290042474342
maintained by,22,20-49,0.9953002499412531,0.99-1.0,0.17945662132765544
male form of label,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
male population,19,10-19,0.995941124949264,0.99-1.0,0.17957217365835942
manner of death,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
manufacturer,138,100-199,0.9705197496314969,0.95-0.99,0.1749885978737678
mass excess,109,100-199,0.9767148747089359,0.95-0.99,0.1761056037372397
mass,225,200-499,0.9519343743991797,0.95-0.99,0.17163758028335205
material used,252,200-499,0.9461664993270813,0.9-0.95,0.17059760930701612
maximum capacity,23,20-49,0.9950866249385828,0.99-1.0,0.17941810388408744
maximum sustained winds,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
mean anomaly,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
measured physical quantity,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
median lethal dose (LD50),2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
medical condition treated,19,10-19,0.995941124949264,0.99-1.0,0.17957217365835942
melting point,16,10-19,0.996581999957275,0.99-1.0,0.17968772598906346
member category,8,5-9,0.9982909999786375,0.99-1.0,0.1799958655376074
member of,194,100-199,0.9585567494819593,0.95-0.99,0.17283162103395994
members have occupation,8,5-9,0.9982909999786375,0.99-1.0,0.1799958655376074
metallicity,55,50-99,0.9882506248531329,0.95-0.99,0.17818554568991157
minimum age,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
minimum temperature record,7,5-9,0.9985046249813078,0.99-1.0,0.1800343829811754
molecular function,18,10-19,0.9961547499519344,0.99-1.0,0.17961069110192746
month of the year,10,10-19,0.9978637499732969,0.99-1.0,0.17991883065047143
mother,49,20-49,0.9895323748691547,0.95-0.99,0.17841665035131954
mountain range,37,20-49,0.9920958749011984,0.99-1.0,0.1788788596741355
mountains classification,54,50-99,0.9884642498558032,0.95-0.99,0.17822406313347955
mouth of the watercourse,9,5-9,0.9980773749759672,0.99-1.0,0.1799573480940394
movement,26,20-49,0.9944457499305719,0.99-1.0,0.17930255155338348
MPAA film rating,10,10-19,0.9978637499732969,0.99-1.0,0.17991883065047143
musical conductor,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
name in native language,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
name,16,10-19,0.996581999957275,0.99-1.0,0.17968772598906346
named after,250,200-499,0.9465937493324219,0.9-0.95,0.17067464419415213
narrative location,31,20-49,0.9933776249172203,0.99-1.0,0.17910996433554346
narrative role,12,10-19,0.9974364999679562,0.99-1.0,0.17984179576333542
narrator,6,5-9,0.9987182499839782,0.99-1.0,0.18007290042474342
native label,134,100-199,0.9713742496421781,0.95-0.99,0.17514266764803976
negative prognostic predictor,1,1,0.9997863749973297,0.99-1.0,0.1802654876425834
neutron number,91,50-99,0.9805601247570016,0.95-0.99,0.17679891772146367
next higher rank,10,10-19,0.9978637499732969,0.99-1.0,0.17991883065047143
next lower rank,10,10-19,0.9978637499732969,0.99-1.0,0.17991883065047143
nominal GDP per capita,6,5-9,0.9987182499839782,0.99-1.0,0.18007290042474342
nominal GDP,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
nominated by,9,5-9,0.9980773749759672,0.99-1.0,0.1799573480940394
nominated for,26,20-49,0.9944457499305719,0.99-1.0,0.17930255155338348
non-operating temperature,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
notable work,7,5-9,0.9985046249813078,0.99-1.0,0.1800343829811754
number of abstentions,10,10-19,0.9978637499732969,0.99-1.0,0.17991883065047143
number of constituencies,23,20-49,0.9950866249385828,0.99-1.0,0.17941810388408744
number of cylinders,12,10-19,0.9974364999679562,0.99-1.0,0.17984179576333542
number of deaths,14,10-19,0.9970092499626156,0.99-1.0,0.17976476087619944
number of decimal digits,37,20-49,0.9920958749011984,0.99-1.0,0.1788788596741355
number of episodes,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
number of graves,5,5-9,0.9989318749866485,0.99-1.0,0.18011141786831142
number of households,61,50-99,0.9869688748371109,0.95-0.99,0.17795444102850355
number of houses,21,20-49,0.9955138749439234,0.99-1.0,0.17949513877122344
number of injured,15,10-19,0.9967956249599453,0.99-1.0,0.17972624343263144
number of matches played races starts,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
number of out-of-school children,6,5-9,0.9987182499839782,0.99-1.0,0.18007290042474342
number of pages,23,20-49,0.9950866249385828,0.99-1.0,0.17941810388408744
number of participants,75,50-99,0.9839781247997266,0.95-0.99,0.1774151968185516
number of parts of this work,5,5-9,0.9989318749866485,0.99-1.0,0.18011141786831142
number of perpetrators,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
number of platform faces,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
number of records,8,5-9,0.9982909999786375,0.99-1.0,0.1799958655376074
number of representatives in an organization legislature,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
number of seasons,7,5-9,0.9985046249813078,0.99-1.0,0.1800343829811754
number of seats,30,20-49,0.9935912499198907,0.99-1.0,0.1791484817791115
number of spans,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
number of spoilt votes,13,10-19,0.9972228749652859,0.99-1.0,0.17980327831976742
numeric value,43,20-49,0.9908141248851766,0.99-1.0,0.1786477550127275
occupant,31,20-49,0.9933776249172203,0.99-1.0,0.17910996433554346
occupation,43,20-49,0.9908141248851766,0.99-1.0,0.1786477550127275
of,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
office contested,63,50-99,0.9865416248317703,0.95-0.99,0.17787740614136757
office held by head of government,26,20-49,0.9944457499305719,0.99-1.0,0.17930255155338348
office held by head of the organization,30,20-49,0.9935912499198907,0.99-1.0,0.1791484817791115
official color,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
official language,11,10-19,0.9976501249706266,0.99-1.0,0.17988031320690342
official name,116,100-199,0.9752194996902438,0.95-0.99,0.17583598163226374
official residence,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
official symbol,2,2-4,0.9995727499946594,0.99-1.0,0.1802269701990154
officially opened by,14,10-19,0.9970092499626156,0.99-1.0,0.17976476087619944
on focus list of Wikimedia project,243,200-499,0.948089124351114,0.9-0.95,0.1709442662991281
operating area,12,10-19,0.9974364999679562,0.99-1.0,0.17984179576333542
operating system,6,5-9,0.9987182499839782,0.99-1.0,0.18007290042474342
operator,322,200-499,0.9312127491401594,0.9-0.95,0.1679013882572563
opposite of,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
orbital eccentricity,14,10-19,0.9970092499626156,0.99-1.0,0.17976476087619944
orbital inclination,12,10-19,0.9974364999679562,0.99-1.0,0.17984179576333542
orbital period,22,20-49,0.9953002499412531,0.99-1.0,0.17945662132765544
order of battle,12,10-19,0.9974364999679562,0.99-1.0,0.17984179576333542
organization directed from the office or person,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
organizer,179,100-199,0.961761124522014,0.95-0.99,0.1734093826874799
original broadcaster,3,2-4,0.9993591249919891,0.99-1.0,0.1801884527554474
original language of film or TV show,22,20-49,0.9953002499412531,0.99-1.0,0.17945662132765544
owned by,220,200-499,0.9530024994125312,0.95-0.99,0.17183016750119204
owner of,82,50-99,0.9824827497810343,0.95-0.99,0.17714557471357562
par,6,5-9,0.9987182499839782,0.99-1.0,0.18007290042474342
parallax,163,100-199,0.9651791245647391,0.95-0.99,0.17402566178456785
parent astronomical body,7,5-9,0.9985046249813078,0.99-1.0,0.1800343829811754
parent cell line,14,10-19,0.9970092499626156,0.99-1.0,0.17976476087619944
parent organization,56,50-99,0.9880369998504624,0.95-0.99,0.17814702824634354
parent peak,4,2-4,0.9991454999893188,0.99-1.0,0.18014993531187942
parent taxon,12,10-19,0.9974364999679562,0.99-1.0,0.17984179576333542
parity quantum number,38,20-49,0.9918822498985281,0.99-1.0,0.1788403422305675
part of the series,140,100-199,0.9700924996261563,0.95-0.99,0.1749115629866318
